category_id,category_path,listing_count
15913,"Collectibles|Science & Medicine (1930-Now)|Mining|Equipment",36
8504,"Sporting Goods|Camping & Hiking|Other Camping & Hiking",21
36120,"Sporting Goods|Camping & Hiking|Tents & Canopies|Tent & Canopy Accessories",17
262020,"Jewelry & Watches|Jewelry Care, Design & Repair|Jewelry Tools & Workbenches",9
50382,"Home & Garden|Tools & Workshop Equipment|Power Tool & Air Tool Accessories|Drill Bits",9
29574,"Sporting Goods|Water Sports|Wetsuits & Drysuits|Other Wetsuits & Drysuits",9
88433,"Everything Else|Every Other Thing",7
27362,"Sporting Goods|Camping & Hiking|Clothing|Other Camping, Hiking Clothing",7
20725,"Home & Garden|Yard, Garden & Outdoor Living|Outdoor Heating, Cooking & Eating|Barbecue Tools",6
101915,"Health & Beauty|Salon & Spa Equipment|Scissors & Shears",6
163824,"Business & Industrial|Test, Measurement & Inspection|Test Meters & Detectors|Metal Detector Accessories",6
73522,"Collectibles|Knives, Swords & Blades|Collectible Fixed Blade Knives|Modern Fixed Blade|Factory Manufactured",6
27363,"Sporting Goods|Camping & Hiking|Hiking Gear|Other Hiking Gear",5
75236,"Sporting Goods|Camping & Hiking|Camping Knives & Tools|Multi-Tools",5
13362,"Sporting Goods|Fitness, Running & Yoga|Other Fitness, Running & Yoga",5
52373,"Clothing, Shoes & Accessories|Men|Men's Accessories|Key Chains, Rings & Cases",4
181415,"Sporting Goods|Camping & Hiking|Outdoor Survival Gear|Other Outdoor Survival Gear",4
28171,"Crafts|Sewing|Cutting Tools|Dressmaker's Scissors & Shears",4
122718,"Crafts|Multi-Purpose Craft Supplies|Crafting Tools|Craft Tweezers",4
46282,"Home & Garden|Kitchen, Dining & Bar|Kitchen Tools & Gadgets|Cutting Boards",4
48818,"Collectibles|Knives, Swords & Blades|Collectible Folding Knives|Modern Folding Knives|Factory Manufactured",4
177902,"Sporting Goods|Tactical & Duty Gear|Other Tactical & Duty Gear",3
50814,"Sporting Goods|Outdoor Sports|Climbing & Caving|Carabiners & Hardware",3
260207,"Home & Garden|Tools & Workshop Equipment|Power Tool & Air Tool Accessories|Rotary Tool Accessories",3
183125,"Crafts|Multi-Purpose Craft Supplies|Adhesives & Tape|Other Adhesives & Tape",3
181379,"Sporting Goods|Camping & Hiking|Hiking Backpacks|Backpacks",3
11872,"Health & Beauty|Nail Care, Manicure & Pedicure|Nail Care Tools|Manicure & Pedicure Tools & Kits",3
50816,"Sporting Goods|Outdoor Sports|Climbing & Caving|Ropes, Cords & Slings",3
181398,"Sporting Goods|Camping & Hiking|Camping Hygiene & Sanitation|Camping Towels",3
310,"Sporting Goods|Other Sporting Goods",3
178974,"Home & Garden|Tools & Workshop Equipment|Hand Tools|Files",3
31726,"Crafts|Beads & Jewelry Making|Other Beads & Jewelry Making",3
181413,"Sporting Goods|Camping & Hiking|Outdoor Survival Gear|Paracord & Paracord Supplies",3
50602,"Consumer Electronics|Multipurpose Batteries & Power|Single Use Batteries",3
122838,"Home & Garden|Tools & Workshop Equipment|Power Tool & Air Tool Accessories|Saw Blades|Other Saw Blades",3
20763,"Home & Garden|Tools & Workshop Equipment|Hand Tools|Hammers & Mallets",3
116496,"Crafts|Sculpting, Molding & Ceramics|Ceramics & Pottery|Pottery Tools & Sets",2
177895,"Sporting Goods|Tactical & Duty Gear|Tactical Patches",2
183161,"Crafts|Home Arts & Crafts|Woodworking|Other Woodworking Supplies",2
20164,"Business & Industrial|Office|Office Supplies|Paper Products|Note Pads",2
22700,"Sporting Goods|Hunting|Gun Smithing & Maintenance|Cleaning Supplies",2
75035,"Health & Beauty|Health Care|First Aid|Kits & Bags",2
36109,"Sporting Goods|Camping & Hiking|Hiking Backpacks|Other Camping & Hiking Backpacks",2
71161,"Sporting Goods|Water Sports|Scuba & Snorkeling|Masks",2
183319,"Crafts|Sculpting, Molding & Ceramics|Other Sculpting Supplies",2
29577,"Sporting Goods|Water Sports|Scuba & Snorkeling|Knives",2
159151,"Sporting Goods|Water Sports|Other Water Sports",2
16037,"Sporting Goods|Camping & Hiking|Flashlights, Lanterns & Lights|Flashlights",2
50380,"Home & Garden|Tools & Workshop Equipment|Hand Tools|Punches",2
106984,"Sporting Goods|Camping & Hiking|Flashlights, Lanterns & Lights|Headlamps",2
183080,"Crafts|Art Supplies|Collage Supplies",2
7306,"Sporting Goods|Hunting|Knives & Tools|Other Hunting Knives & Tools",2
75564,"Crafts|Multi-Purpose Craft Supplies|Other Multi-Purpose Crafting",2
183235,"Crafts|Scrapbooking & Paper Crafts|Scrapbooking|Scrapbooking Tools|Paper Trimmers",2
19172,"Toys & Hobbies|Preschool Toys & Pretend Play|Dress-Up, Costumes",2
39057,"Home & Garden|Tools & Workshop Equipment|Hand Tools|Knives & Blades",2
117141,"Sporting Goods|Outdoor Sports|Air Guns & Slingshots|Slingshots",2
87133,"Sporting Goods|Camping & Hiking|Camping Cooking Supplies|Camping Cooking Utensils",2
116005,"Home & Garden|Kitchen, Dining & Bar|Kitchen Tools & Gadgets|Sharpeners",2
179793,"Sporting Goods|Boxing, Martial Arts & MMA|Martial Arts Weapons|Knives",2
181042,"Home & Garden|Yard, Garden & Outdoor Living|Weed & Pest Control|Insect & Grub Control|Swatters",2
75235,"Sporting Goods|Camping & Hiking|Camping Knives & Tools|Camping Knives",2
29509,"Home & Garden|Household Supplies & Cleaning|Cleaning Tools|Cleaning Towels & Cloths",2
178055,"Home & Garden|Kitchen, Dining & Bar|Kitchen Tools & Gadgets|Funnels",1
36114,"Sporting Goods|Camping & Hiking|Outdoor Sleeping Gear|Air Mattresses & Sleeping Pads",1
104229,"Business & Industrial|Healthcare, Lab & Dental|Handpieces & Instruments|Scalpels, Surgical Blades & Handles",1
178983,"Home & Garden|Yard, Garden & Outdoor Living|Garden Hand Tools & Equipment|Shovels",1
259621,"Home & Garden|Household Supplies & Cleaning|Cleaning Products",1
85915,"Home & Garden|Yard, Garden & Outdoor Living|Outdoor Power Equipment|Chainsaw Parts",1
20641,"Home & Garden|Kitchen, Dining & Bar|Kitchen Tools & Gadgets|Peelers & Slicers",1
178960,"Health & Beauty|Nail Care, Manicure & Pedicure|Nail Care Tools|Electric Files & Tools",1
158951,"Sporting Goods|Fitness, Running & Yoga|Clothing & Accessories|Safety & Reflective Gear",1
64602,"Musical Instruments & Gear|Karaoke Entertainment|Karaoke Systems",1
28133,"Crafts|Leathercrafts|Leathercraft Tools|Other Leather Tools",1
118867,"Home & Garden|Yard, Garden & Outdoor Living|Garden Hand Tools & Equipment|Garden Tool Sets",1
112581,"Home & Garden|Lamps, Lighting & Ceiling Fans|Lamps",1
98968,"Travel|Travel Accessories|Money Belts & Wallets",1
45452,"Baby|Bathing & Grooming|Health & Grooming",1
16507,"Crafts|Stamping & Embossing|Tools & Equipment",1
177907,"Sporting Goods|Hunting|Range & Shooting Equipment|Other Range & Shooting Equipment",1
42266,"Home & Garden|Tools & Workshop Equipment|Power Tools|Buffers & Polishers",1
75041,"Health & Beauty|Health Care|Pill Boxes, Pill Cases",1
303,"Home & Garden|Tools & Workshop Equipment|Hand Tools|Other Hand Tools",1
67019,"Business & Industrial|Facility Maintenance & Safety|Personal Protective Equipment (PPE)|Safety Glasses & Goggles",1
45112,"Business & Industrial|Office|Office Supplies|Calendars & Planners|Blank Diaries & Journals",1
183393,"Home & Garden|Yard, Garden & Outdoor Living|Outdoor Lighting|Security & Floodlights",1
166126,"Sporting Goods|Camping & Hiking|Outdoor Survival Gear|Fire Starters",1
109492,"Business & Industrial|Fasteners & Hardware|Clamps, Ties & Cords|Shock Cords & Bungees",1
1300,"Sporting Goods|Water Sports|Scuba & Snorkeling|Other Scuba & Snorkeling",1
183394,"Home & Garden|Yard, Garden & Outdoor Living|Outdoor Lighting|String Lights",1
260134,"Home & Garden|Household Supplies & Cleaning|Laundry Supplies|Detergents, Softeners & Stain Removers",1
43504,"Home & Garden|Household Supplies & Cleaning|Home Organization|Storage Bags",1
100237,"Sporting Goods|Camping & Hiking|Camping Knives & Tools|Other Camping Knives & Tools",1
67421,"Health & Beauty|Oral Care|Standard Toothbrushes",1
183124,"Crafts|Multi-Purpose Craft Supplies|Adhesives & Tape|Glue Guns & Sticks",1
181412,"Sporting Goods|Camping & Hiking|Outdoor Survival Gear|Emergency Blankets",1
20688,"Home & Garden|Kitchen, Dining & Bar|Bar Tools & Accessories|Corkscrews & Openers",1
177876,"Sporting Goods|Hunting|Clothing, Shoes & Accessories|Waders",1
181414,"Sporting Goods|Camping & Hiking|Outdoor Survival Gear|Safety Whistles",1
102953,"Home & Garden|School Supplies|Pens & Pencils",1
57007,"Business & Industrial|Fasteners & Hardware|Clamps, Ties & Cords|Cable Ties",1
259189,"Home & Garden|Home Improvement|Building & Hardware|Paint, Stain & Varnish|Sealants & Waterproofers",1
183150,"Crafts|Home Arts & Crafts|Woodworking|Wood Burning Pens",1
181040,"Home & Garden|Yard, Garden & Outdoor Living|Weed & Pest Control|Insect & Grub Control|Insect Zappers",1
106123,"Clothing, Shoes & Accessories|Specialty|Clothing & Shoe Care|Shoe Care & Repair|Shoe Cleaners, Conditioners & Polishes",1
261068,"Toys & Hobbies|Action Figures & Accessories|Action Figures",1
177887,"Sporting Goods|Hunting|Range & Shooting Equipment|Benches & Rests",1
158746,"Toys & Hobbies|Preschool Toys & Pretend Play|Kitchens",1
181409,"Sporting Goods|Camping & Hiking|Water Bottles & Hydration|Water Carriers",1
11704,"Home & Garden|Tools & Workshop Equipment|Other Tools & Workshop Equipment",1
183133,"Crafts|Leathercrafts|Leathercraft Tools|Hammer & Mallets",1
87122,"Sporting Goods|Camping & Hiking|Hiking Backpacks|Daypacks",1
57209,"Crafts|Art Supplies|Painting Supplies|Artists Brushes",1
156462,"Collectibles|Militaria|Current Militaria (2001-Now)|Original Items|Personal, Field Gear|Dog Tags",1
159091,"Sporting Goods|Camping & Hiking|Flashlights, Lanterns & Lights|Glow Sticks",1
178084,"Sporting Goods|Hunting|Knives & Tools|Butchering Knives, Tools & Sets",1
19100,"Toys & Hobbies|Games|Board & Traditional Games|Vintage Manufacture",1
177005,"Home & Garden|Kitchen, Dining & Bar|Flatware, Knives & Cutlery|Kitchen & Steak Knives",1
181362,"Sporting Goods|Camping & Hiking|Clothing|Men's|Socks",1
183904,"Business & Industrial|Facility Maintenance & Safety|Safety Signs & Traffic Control|Other Safety Signs & Traffic Control",1
134765,"Crafts|Beads & Jewelry Making|Beading & Jewelry Making Tools|Jewelry Pliers & Shears",1
3628,"Collectibles|Pez, Keychains, Promo Glasses|Keychains|Modern (1970-Now)",1
66826,"Sporting Goods|Hunting|Knives & Tools|Sharpening Tools & Accessories",1
23782,"Home & Garden|Tools & Workshop Equipment|Hand Tools|Hand Tool Sets",1
42362,"Home & Garden|Tools & Workshop Equipment|Tool Boxes & Storage|Tool Bags, Belts & Pouches",1
159092,"Sporting Goods|Camping & Hiking|Flashlights, Lanterns & Lights|Other Camping Lights",1
75234,"Sporting Goods|Camping & Hiking|Camping Knives & Tools|Camping Hatchets & Axes",1
85917,"Home & Garden|Tools & Workshop Equipment|Workshop Equipment|Tie Downs & Straps",1
84912,"Toys & Hobbies|Radio Control & Control Line|Remote-Controlled Toys",1
42576,"Sporting Goods|Hunting|Knives & Tools|Fixed Blade",1
168867,"Sporting Goods|Camping & Hiking|Flashlights, Lanterns & Lights|Lanterns",1
20661,"Home & Garden|Kitchen, Dining & Bar|Linens & Textiles|Oven Mitts & Potholders",1
62134,"Sporting Goods|Fitness, Running & Yoga|Fitness Equipment & Gear|Jump Ropes",1
159926,"Home & Garden|Yard, Garden & Outdoor Living|Outdoor Heating, Cooking & Eating|Other Heating, Cooking & Eating",1
178972,"Home & Garden|Tools & Workshop Equipment|Hand Tools|Chisels",1
117039,"Jewelry & Watches|Watches, Parts & Accessories|Parts, Tools & Guides|Tools & Repair Kits",1
42255,"Home & Garden|Tools & Workshop Equipment|Hand Tools|Screwdrivers & Nutdrivers",1
13871,"Collectibles|Tools, Hardware & Locks|Tools|Carpentry, Woodworking|Chisels",1
45237,"Clothing, Shoes & Accessories|Women|Women's Accessories|Key Chains, Rings & Finders",1
26261,"Business & Industrial|Other Business & Industrial",1
106124,"Clothing, Shoes & Accessories|Specialty|Clothing & Shoe Care|Shoe Care & Repair|Shoe Repair",1
177911,"Sporting Goods|Hunting|Blinds & Tree Stands|Camouflage Materials",1
75669,"Home & Garden|Yard, Garden & Outdoor Living|Garden Clothing & Protective Gear|Garden Kneelers, Cushions & Seats",1
185171,"Business & Industrial|Healthcare, Lab & Dental|Handpieces & Instruments|Other Handpieces & Instruments",1
40587,"Home & Garden|Bath|Bathroom Accessories|Towels & Washcloths",1
20761,"Home & Garden|Tools & Workshop Equipment|Hand Tools|Clamps & Vises",1
46413,"Home & Garden|Tools & Workshop Equipment|Power Tools|Welding & Soldering Tools",1
43220,"Collectibles|Knives, Swords & Blades|Blade Parts, Supplies & Accs|Blade Sharpeners & Stones",1
181076,"Home & Garden|Other Home & Garden",1
87100,"Sporting Goods|Camping & Hiking|Outdoor Sleeping Gear|Sleeping Bags",1
183100,"Crafts|Art Supplies|Painting Supplies|Painting Tools & Accessories|Painting Stencils",1
75237,"Sporting Goods|Camping & Hiking|Camping Knives & Tools|Camping Saws",1
39478,"Coins & Paper Money|Publications & Supplies|Magnifiers & Loupes",1
29576,"Sporting Goods|Water Sports|Scuba & Snorkeling|Gear Bags",1
183191,"Crafts|Needlecrafts & Yarn|Embroidery & Cross Stitch|Hand Embroidery Tools & Accs|Embroidery Scissors",1
39665,"Collectibles|Historical Memorabilia|Police|Handcuffs & Keys",1
