item_id,sku,child_item_id,match_method,total_images,unique_images,shared_with_parent_images
256509144716,KOL-FRUITVEGGIEPEELER-GRN,v1|256509144716|556713391066,aspect_match,1,1,0
256509144716,KOL-FRUITVEGGIEPEELER-RED,v1|256509144716|556713391067,aspect_match,5,5,0
256509144757,MCN-GATTMCFSTP-2PC-3X5-CLR,v1|256509144757|556713704161,aspect_match,8,0,8
256509144757,MCN-GATTMCFSTP-2PC-3X5-CLR-2PK,v1|256509144757|556713704162,aspect_match,8,0,8
256510041680,MCN-GARNASFWAWK-SPECIAL-2PK-TAG,v1|256510041680|556715844755,aspect_match,6,0,6
256510041680,MCN-GARNASFWAWK-KIT-SPECIAL-TAG,v1|256510041680|556715844756,aspect_match,6,0,6
256510041753,MCN-MMESQAS12O-12OZ-CLR,v1|256510041753|556715761177,aspect_match,8,0,8
256510041753,MCN-MMESQAS12O-12OZ-CLR-2PK,v1|256510041753|556715761178,aspect_match,8,0,8
256510041789,MCN-GAHBWBK1INCH-2PC-15-BLCK-AMZN,v1|256510041789|556715671413,aspect_match,1,0,1
256510041789,MCN-WINCHBUCKLE-1INCH-HPNR,v1|256510041789|556715671414,aspect_match,1,0,1
256510047646,MCN-MMESDAALCD125O-C-WHT,v1|256510047646|556715833587,aspect_match,7,0,7
256510047646,MCN-MESENTL-SEADROP-2PK-1,v1|256510047646|556715833588,aspect_match,7,0,7
256510047702,MCN-PCSTUCCS-550-BLCK-R-100FT,v1|256510047702|556715552015,aspect_match,1,1,0
256510047702,MCN-PCSTUCCS-550-CAMO-100FT,v1|256510047702|556715552016,aspect_match,2,2,0
256510047702,MCN-PCSTUCCS-550-ORNG-R-100FT,v1|256510047702|556715552017,aspect_match,2,2,0
256510047916,MCN-PCSTUCCS-550-BLCK-R-30FT,v1|256510047916|556715750787,aspect_match,1,1,0
256510047916,MCN-PCSTUCCS-550-CAMO-30FT,v1|256510047916|556715750788,aspect_match,2,2,0
256510047916,MCN-PCSTUCCS-550-ORNG-R-30FT,v1|256510047916|556715750789,aspect_match,2,2,0
256510047928,MCN-MBMPRK-STD-AMZN-2PK,v1|256510047928|556715757226,aspect_match,8,0,8
256510047928,MCN-MBMPRK-STD-BLCK-AMZN1,v1|256510047928|556715757227,aspect_match,8,0,8
256510047956,MCN-PCUCCH-325-BLCK-50FT,v1|256510047956|556715337858,aspect_match,1,0,1
256510047956,MCN-PCUCCH-325-BLCK-50FT-2PK,v1|256510047956|556715337859,aspect_match,1,0,1
256510047966,SON-15X15SLPB-100PC-15X15-CLR,v1|256510047966|556715690476,aspect_match,2,2,0
256510047966,SON-3X3SLPB-100PC-3X3-CLR,v1|256510047966|556715690477,aspect_match,2,2,0
256510047966,SON-3X4SLPB-100PC-3X4-CLR,v1|256510047966|556715690478,aspect_match,2,2,0
256510047966,SON-6X9SLPB-100PC-6X9-CLR,v1|256510047966|556715690479,aspect_match,2,2,0
256510047966,SON-8IX10IZLB-100PC-LG-CLR,v1|256510047966|556715690480,aspect_match,2,2,0
256510047966,SON-4X4SLPB-100PC-4X4-CLR,v1|256510047966|556729176296,aspect_match,2,2,0
256510047992,MCN-UCMAAFDOTCL-LG-CYT,v1|256510047992|556715833589,partial_aspect_match,1,1,0
256510047992,MCN-UCMAAFDOTGL-LG-GRN,v1|256510047992|556715833590,partial_aspect_match,2,2,0
256510047992,MCN-MOMUAQDGTNBL-2PC-NVYBL-3,v1|256510047992|556715833591,partial_aspect_match,2,2,0
256510047992,MCN-MUAMOPTG-LRG-GRN-VAR-1,v1|256510047992|556715833592,partial_aspect_match,2,2,0
256510047992,MCN-OMTUAQDGTCBL-LG-CBLT-VAR-1,v1|256510047992|556715833593,partial_aspect_match,2,2,0
256510047992,MCN-MUCMT-LG,v1|256510047992|556715833594,partial_aspect_match,2,2,0
256510047992,MCN-MOMUAQDGTML-2PC-30X50,v1|256510047992|556715833595,partial_aspect_match,1,1,0
256510048011,MCN-GAPCLC-2PC-C-ORNG-AMZN,v1|256510048011|556715493518,aspect_match,1,1,0
256510048011,MCN-PCLCFBRAJ316INCH-2PC-C-BLCK-AMZ-HPN,v1|256510048011|556715493519,aspect_match,3,3,0
256510048011,MCN-PCLCFBRAJ316INCH-2PK-BUN,v1|256510048011|556715493520,aspect_match,3,3,0
256510048011,MET-PCLC-BUN-2PC-3PK-C-ORNG,v1|256510048011|556715493521,aspect_match,1,1,0
256510048023,MCN-DABUCKLE-58INCH,v1|256510048023|556715616521,partial_aspect_match,1,1,0
256510048023,GEARAID-DUALADJ-6BUCKLESET-2INCH,v1|256510048023|556715616522,partial_aspect_match,3,3,0
256510048023,MCN-DABUCKLE-2INCH-HPNR,v1|256510048023|556715616523,partial_aspect_match,3,3,0
256510048023,MCN-DABUCKLE-34INCH-HPNR,v1|256510048023|556715616524,partial_aspect_match,1,1,0
256510048023,MCN-DABUCKLE-58INCH-6PK,v1|256510048023|556715616525,partial_aspect_match,1,1,0
256510048040,MCN-MGAAWRKWP25OZ-5PC-STD-BLCK,v1|256510048040|556715767722,aspect_match,8,0,8
256510048040,MCN-MGAAWRKWP25OZ-5PC-STD-BLCK-2PK,v1|256510048040|556715767723,aspect_match,8,0,8
256510048040,MCN-MGAAWRKWP25OZ-5PC-STD-BLCK-3PK,v1|256510048040|556715767724,aspect_match,8,0,8
256376275265,MCN-SGFRKFGA-SML,v1|256376275265|556461644694,aspect_match,6,0,6
256376275265,MCN-SGFRKFGA-SML-2PK,v1|256376275265|556461644695,aspect_match,6,0,6
257016930958,MCN-SEAGOLDGEL-2PK-AMZN-HPNR,v1|257016930958|557651507987,aspect_match,7,0,7
257016930958,MCN-SEAGOLDGEL-AMZN-HPNR,v1|257016930958|557651507988,aspect_match,7,0,7
256446183297,MCN-MTRFT-3X20E-RFLCTV,v1|256446183297|556584185314,aspect_match,6,0,6
256446183297,MCN-MTRFT-3X20E-RFLCTV-HPN-2PK,v1|256446183297|556584185315,aspect_match,6,0,6
256446183453,MCN-TTAPE-SILNYLON-3X5,v1|256446183453|556584186148,aspect_match,3,0,3
256446183453,MCN-TTAPE-SILNYLON-3X5-2PK,v1|256446183453|556584186149,aspect_match,3,0,3
256446183485,MCN-UCMAAFDOTCEL-XL-CYT,v1|256446183485|556584196580,partial_aspect_match,1,1,0
256446183485,MCN-MOMUAQDGTGX-2PC-35X62-GRN-VAR-1,v1|256446183485|556584196581,partial_aspect_match,2,2,0
256446183485,MCN-MOMUAQDGTMGX-2PC,v1|256446183485|556584196582,partial_aspect_match,2,2,0
256446183485,MCN-MOMUAQDGTNBX-2PC-NVYBL-2,v1|256446183485|556584196583,partial_aspect_match,2,2,0
256446183485,MCN-MOMUAQDGTMX-2PC-35X62,v1|256446183485|556584196584,partial_aspect_match,2,2,0
256446183485,MCN-UCMAAFDOTSEL-XL,v1|256446183485|556611394107,partial_aspect_match,2,2,0
256446183505,MCN-GATTMCFSTP-SQUIRRL,v1|256446183505|556583967727,aspect_match,1,1,0
256446183505,MCN-TTAPEOUTDOOR-BLK,v1|256446183505|556583967728,aspect_match,2,2,0
256446183505,MCN-GATTMCFSTP-SQUIRRL-2PK,v1|256446183505|556583967729,aspect_match,1,1,0
256446183505,MCN-MGATTWP-STD-BLCK-2,v1|256446183505|556583967730,aspect_match,6,6,0
256446183505,MCN-MGATTWP-STD-BLCK-2PK,v1|256446183505|556583967731,aspect_match,6,6,0
256446183505,MCN-TTAPEOUTDOOR-BLK-2PK,v1|256446183505|556583967732,aspect_match,2,2,0
256446183524,MCN-IMFRKSDWR-3PC-10X6-BLCK,v1|256446183524|556583900464,aspect_match,6,0,6
256446183524,MCN-IMFRKSDWR-3PC-10X6-BLCK-2PK,v1|256446183524|556583900465,aspect_match,6,0,6
256514435510,MCN-MINIPATCH-CLR-AMZN,v1|256514435510|556725411777,aspect_match,1,1,0
256514435510,MCN-MINIPATCH-CLR-AMZN-2PK,v1|256514435510|556725411778,aspect_match,1,1,0
256514435510,MCN-MINIPATCH-CLRBLK-AMZN,v1|256514435510|556725411779,aspect_match,4,4,0
256514435510,MCN-MINIPATCH-CLRBLK-AMZN-2PK,v1|256514435510|556725411780,aspect_match,4,4,0
256514435510,MCN-MINITAPE-PATCHES-BLK-AMZN,v1|256514435510|556725411781,aspect_match,1,1,0
256514435510,MCN-MINITAPE-PATCHES-BLK-AMZN-2PK,v1|256514435510|556725411782,aspect_match,1,1,0
256380454290,MCN-NIGLO-CLR1PK-91500,v1|256380454290|556469673899,aspect_match,1,1,0
256380454290,MCN-NIGLO-ORG1PK-91502,v1|256380454290|556469673900,aspect_match,2,2,0
256380454290,MCN-NIGLO-YLW1PK-91504,v1|256380454290|556469673901,aspect_match,6,6,0
256380454290,MCN-NIGLO-YLW2PK-91504,v1|256380454290|556469673902,aspect_match,6,6,0
256380454290,MCN-NIGLO-ORG2PK-91502,v1|256380454290|556691791442,aspect_match,2,2,0
256515004658,MCN-MGATSPWS-S-CLR,v1|256515004658|556726354085,aspect_match,5,0,5
256515004658,MCN-MGATSPWS-S-CLR-2PK,v1|256515004658|556726354086,aspect_match,5,0,5
256515004688,MCN-GARLBGCK-4PC-7X5-3,v1|256515004688|556726562186,aspect_match,6,0,6
256515004688,MCN-GARLBGCK-TAG-SPECIAL-2PK,v1|256515004688|556726562187,aspect_match,6,0,6
256264332056,MCN-GAMEAACCRA-3PC-SML-CLR-1,v1|256264332056|556291944498,aspect_match,5,0,5
256264332056,MCN-GAMEAACCRA-3PC-SML-CLR-1-2PK,v1|256264332056|556291944499,aspect_match,5,0,5
255457181082,MCN-GASG1OZGRT-1OZT-CLR,v1|255457181082|555412864961,aspect_match,7,0,7
255457181082,MCN-GASG1OZGRT-1OZT-CLR-2PK,v1|255457181082|555412864962,aspect_match,7,0,7
255457181082,MCN-GASG1OZGRT-1OZT-CLR-3PK,v1|255457181082|555412864963,aspect_match,7,0,7
256525915661,SON-GRAPHITECRUCIBLE-2375,v1|256525915661|556749682405,partial_aspect_match,1,1,0
256525915661,SON-UTGCFGM15B15I-15X15-CHRCL,v1|256525915661|556749682406,partial_aspect_match,3,3,0
256525915661,SON-UTGCFGM25B25I-25X25-CHRCL,v1|256525915661|556749682407,partial_aspect_match,3,3,0
256525915661,SON-UTGCFGM25B65I-25X65-CHRCL,v1|256525915661|556749682408,partial_aspect_match,2,2,0
256525915661,SON-UTGCFGM25BI-25X5-CHRCL,v1|256525915661|556749682409,partial_aspect_match,3,3,0
256525915661,SON-UTGCFGM2B2I-2X2-CHRCL,v1|256525915661|556749682410,partial_aspect_match,3,3,0
256495157311,MCN-MTCARTRC-5FT-CLR,v1|256495157311|556683549679,aspect_match,6,0,6
256495157311,MCN-MTCARTRC-5FT-CLR-2PK,v1|256495157311|556683549680,aspect_match,6,0,6
256529646593,MCN-BURIDIVEKNIFE-ORG-HPN-1,v1|256529646593|556756743539,aspect_match,1,1,0
256529646593,MCN-BURIDIVEKNIFE-BLK-HPN-1,v1|256529646593|556756743540,aspect_match,4,4,0
254735959828,MCN-GAAUAS-34OZ-CLR,v1|254735959828|555316272943,aspect_match,1,1,0
254735959828,MCN-GAAUAS-34OZ-CLR-2PK,v1|254735959828|555316272944,aspect_match,1,1,0
254735959828,MCN-MGAA8OZWGRA-8OZ-CLR,v1|254735959828|557651447598,aspect_match,2,2,0
254735968039,MCN-2PK-TTAPE-CLR-HVAR-AMZ,v1|254735968039|555316165083,aspect_match,1,1,0
254735968039,MCN-GATTCRRATP-C-CLR-AMZ,v1|254735968039|555316165084,aspect_match,1,1,0
254735968039,MCN-GATTFRTP-20X3-PLTNM-AMZ,v1|254735968039|555331411023,aspect_match,2,2,0
254735968039,MCN-TTAPE-PLTNM-2PK-HVAR-AMZ,v1|254735968039|555331411024,aspect_match,2,2,0
254735968039,MCN-TTAPE-COYOTE-1PK-10667-EBAY,v1|254735968039|555331411025,aspect_match,2,2,0
254735968039,MCN-TTAPE-OD-GREEN-1PK-10668-EBAY,v1|254735968039|555331411026,aspect_match,2,2,0
254735968039,MCN-TTAPE-COYOTE-1PK-10667-EBAY-2PK,v1|254735968039|555331411027,aspect_match,2,2,0
254735968039,MCN-TTAPE-OD-GREEN-1PK-10668-EBAY-2PK,v1|254735968039|555331411028,aspect_match,2,2,0
254735968039,MCN-TTAPE-20X3-SAGEGRN-AMZ,v1|254735968039|555331439284,aspect_match,2,2,0
254735968039,MCN-TTAPE-SGR-2PK-HPN-AMZ,v1|254735968039|555331439285,aspect_match,2,2,0
254735968039,MCN-GATTFRTB-SML-BLCK-AMZ,v1|254735968039|555331384340,aspect_match,1,1,0
254735968039,MCN-BLCK-TTAPE-2PK-AMZ,v1|254735968039|555331384341,aspect_match,1,1,0
254735968039,MCN-MTCARTR-STD-RD-2-AMZ,v1|254735968039|555331384342,aspect_match,2,2,0
254735968039,MCN-MTCARTY-STD-YLLW-2-AMZ,v1|254735968039|555331384343,aspect_match,2,2,0
254735968039,MCN-TTAPE-ORG-1PK-AMZ,v1|254735968039|555331384344,aspect_match,1,1,0
254735968039,MCN-TTAPE-ORG-2PK-AMZ,v1|254735968039|555331384345,aspect_match,1,1,0
254735968039,MCN-TTAPE-RED-2PK-HPN-AMZ,v1|254735968039|555331384346,aspect_match,2,2,0
254735968039,MCN-YELLOWTTAPE-2PACK-AMZ,v1|254735968039|555331384347,aspect_match,2,2,0
254735978393,MCN-FSABRA-1OZ-CLR,v1|254735978393|555316397185,aspect_match,7,0,7
254735978393,MCN-FSABRA-1OZ-CLR-2PK,v1|254735978393|555316397186,aspect_match,7,0,7
254735978393,MCN-FSABRA-1OZ-CLR-3PK,v1|254735978393|555316397187,aspect_match,7,0,7
256468957823,SON-100FTGNGPR550LBS-100FT-NNGRN,v1|256468957823|556627919288,partial_aspect_match,1,1,0
256468957823,SON-PARACORD-100-7-GREY,v1|256468957823|556627919289,partial_aspect_match,1,1,0
256468957823,SON-PARACORD-100-7-KHAKI,v1|256468957823|556627919290,partial_aspect_match,2,2,0
256468957823,SON-PARACORD-100-7-TAN-CAMO,v1|256468957823|556627919291,partial_aspect_match,2,2,0
256470618745,MCN-REFLTTAPEPATCH-GRY,v1|256470618745|556631798003,aspect_match,7,0,7
256470618745,MCN-REFLTTAPEPATCH-GRY-2PK,v1|256470618745|556631798004,aspect_match,7,0,7
256249413299,MCN-MCFMOOSACGW-MSSYOKOBSSSN-E2,v1|256249413299|556267182545,aspect_match,1,1,0
256249413299,MCN-MTCFKHGW-STD-E2,v1|256249413299|556267182546,aspect_match,2,2,0
256249413299,MCN-MTCFRHDFWMOD-STD-CM-E2,v1|256249413299|556267182547,aspect_match,2,2,0
256249413299,MCN-MTPFWCFWD-STD-E2,v1|256249413299|556267182548,aspect_match,2,2,0
256249413299,MCN-MPCLAWFHAOSE-SML-PNK-2,v1|256249413299|556267182549,aspect_match,2,2,0
256249413299,MCN-MCFSRHDFW-STD-E2,v1|256249413299|556286629598,aspect_match,2,2,0
256249413299,MCN-MTCFRHFWDD-STD-DSRTDGTL-E2,v1|256249413299|556343618168,aspect_match,2,2,0
256249413299,MCN-MCFMCWRHDFW-STD-CM-E2,v1|256249413299|556394046034,aspect_match,2,2,0
