#,youtube_id,watch_page_title,handle,mt_len,md_len,flags,meta_title,meta_description,on_page_body,upload_date,duration_iso,length
1,3KRzsc-stEE,"How to Use the ASR Outdoor Mini Rubber Pocket Sluice Box",how-to-use-mini-rubber-pocket-sluice-box,44,152,,"How to Use the Mini Rubber Pocket Sluice Box","Watch how ASR Outdoor's 12-inch mini rubber pocket sluice box traps fine gold in the field — portable, lightweight, and ideal for on-the-go prospecting.","The 12-inch mini rubber sluice box is portable, lightweight, and designed for fine gold recovery in the field. In this quick demo, see how the pocket-sized 3-riffle TPR mat traps fine gold flakes, and how to carry it on a rucksack for prospecting on the go.",2022-06-16,PT1M33S,1:33
2,3N-gFD2G-jQ,"Large-Capacity Rock Hounding Tool Bag",large-capacity-rock-hounding-tool-bag,37,147,,"Large-Capacity Rock Hounding Tool Bag","See the ASR Outdoor large-capacity rock hounding tool bag — multiple compartments to carry your tools, specimens, and gear organized on every hunt.","A quick look at the ASR Outdoor large-capacity rock hounding tool bag. With multiple compartments and plenty of room, it carries all your rockhounding gear, found specimens, and personal belongings so you stay organized on the hunt.",2025-09-26,PT25S,0:25
3,5ZUFmtFPgdE,"How to Choose the Correct Gold Pan for Gold Panning",how-to-choose-the-correct-gold-pan,34,141,,"How to Choose the Correct Gold Pan","Learn how to choose the right gold pan type and size for gold panning — riffle zones, pan sizes, and which pan works best for each excursion.","Not sure which type or size of gold pan is right for you? This guide walks through the different gold pan types, sizes, and riffle zones so you can pick the best pan for each excursion and recover more fine gold and nuggets.",2022-06-16,PT2M53S,2:53
4,BX_OnDzxXRA,"How to Use 6-Inch Classifier Screens for Gold Panning",how-to-use-6-inch-classifier-screens,36,143,,"How to Use 6-Inch Classifier Screens","Watch how to use ASR Outdoor's 6-inch classifier screens to sift and sort paydirt by size — an essential first step for efficient gold panning.","Classifying paydirt is one of the first steps in successful gold prospecting. See how ASR Outdoor's 6-inch stainless mesh classifier screens sort raw material by size so fine gold isn't lost during panning and sluicing.",2022-06-16,PT3M17S,3:17
5,D0Sch7DMcHM,"The Best Shovels, Hammers & Picks for Gold Prospecting",best-shovels-hammers-picks-for-gold-prospecting,45,149,,"Best Shovels, Hammers & Picks for Prospecting","Compare the best shovels, pick axes, and rock hammers for gold prospecting, from full-size to collapsible tools, and find the right dig tool for you.","A rundown of the best digging tools for gold prospecting — from a 28-inch shovel and collapsible shovels to compact pick axes and a rock pick hammer. Find the right tool to reach and break up paydirt for your goals.",2023-09-25,PT3M21S,3:21
6,F3nU7PYk2CU,"ASR Outdoor 30-Inch Plastic Sluice Box Setup & Features",30-inch-plastic-sluice-box-setup,43,134,,"30-Inch Plastic Sluice Box Setup & Features","Setup and features of the ASR Outdoor 30-inch plastic sluice box — lightweight, no assembly, and built for prospectors of every level.","See the setup and features of ASR Outdoor's 30-inch high-impact ABS plastic sluice box. Lightweight, unibody, and no assembly required, with carabiners for a shoulder strap — a great sluice for prospectors of all levels.",2022-06-29,PT2M34S,2:34
7,GRGKibzHhNQ,"How to Use 13-Inch Bucket Classifier Sifting Pans",how-to-use-13-inch-bucket-classifier-pans,41,135,,"How to Use 13-Inch Bucket Classifier Pans","Learn how to use ASR Outdoor's 13-inch bucket classifier sifting pans to sort paydirt by size for faster, more efficient gold recovery.","These 13-inch stackable bucket classifier screens sit on a bucket to sort unclassified paydirt into finer, workable material. Learn how proper classification by size makes gold panning, sluicing, and high-banking far more efficient.",2022-06-16,PT2M34S,2:34
8,I52rzwyfliE,"How to Use the ASR Outdoor 12-Inch Aluminum Sluice Box",how-to-use-12-inch-aluminum-sluice-box,42,140,,"How to Use the 12-Inch Aluminum Sluice Box","Watch how to use ASR Outdoor's 12-inch aluminum sluice box with V-groove rubber matting to capture fine gold flakes from classified paydirt.","The 12-inch aluminum sluice box is ideal for sluicing smaller amounts of classified paydirt and capturing fine gold flakes and flour. See how the V-groove rubber matting traps fine gold — perfect for the field, home cleanup, or beginners.",2022-06-15,PT1M46S,1:46
9,KLobXEEdf1Q,"Unboxing the 12pc Break Your Own Geodes Kit",unboxing-break-your-own-geodes-kit,38,148,,"Unboxing the Break Your Own Geodes Kit","Unboxing ASR Outdoor's 12pc Break Your Own Geodes Kit — 10 geodes, sledge hammer, and goggles. See how to safely crack them and the crystals inside.","A full look at the ASR Outdoor 12-piece Break Your Own Geodes Kit — 10 real geodes, a sledge hammer, and safety goggles. See how to safely break them open and the crystals hidden inside. A fun, educational activity for all ages.",2024-09-13,PT3M,3:00
10,O_ithEcabnU,"Waterproof First Aid Kit — Full Submersion Test",waterproof-first-aid-kit-submersion-test,40,136,,"Waterproof First Aid Kit Submersion Test","Watch ASR Outdoor's 50-piece waterproof first aid kit take a full submersion test — buoyant, hard-cased, and ready to clip to your pack.","Can a first aid kit survive full water submersion? Watch the test. This waterproof, buoyant 50-piece kit packs into a durable hard case with a carabiner to attach to your pack — first aid essentials that stay dry outdoors.",2026-02-25,PT23S,0:23
11,OdcvlszXOH0,"ASR Outdoor 50-Inch Folding Sluice Box Setup",50-inch-folding-sluice-box-setup,32,143,,"50-Inch Folding Sluice Box Setup","Step-by-step setup of ASR Outdoor's 50-inch aluminum folding sluice box — long run-out, wide mouth, and folds down to fit a backpack or bucket.","Learn how to set up the best-selling 50-inch aluminum folding sluice box. Its long run-out and wide flare mouth fold down to just 15 inches to fit a backpack or 5-gallon bucket — great for hikers, adventurers, and serious prospectors.",2022-06-21,PT4M26S,4:26
12,UxDOZeiHAes,"Sluice Box Setup Basics & Rubber Matting Cleanup",sluice-box-setup-basics-rubber-matting,41,133,,"Sluice Box Setup Basics & Matting Cleanup","Learn sluice box setup basics and how to clean rubber riffle matting after running paydirt — plus how each riffle pattern traps gold.","Learn the basics of setting up a sluice box and how to clean up your rubber riffle matting after running paydirt. See how the Hungarian, V-shape, and square riffle patterns in TPR matting trap different sizes of gold and material.",2022-06-17,PT4M7S,4:07
13,XdsMWcP7A0g,"Cracking Open Rocks by the River with a Rock Pick",cracking-open-rocks-by-the-river,32,144,,"Cracking Open Rocks by the River","Watch ASR Outdoor break open river rocks with a rock pick hammer and chisel set, hunting for agates and crystals — rock hounding gear in action.","Watch us break open river rocks with a 3-piece chisel set and a 20oz rock pick hammer, searching for agates, crystals, and hidden gems. A look at ASR Outdoor rock hounding gear in action out in the field.",2025-04-10,PT37S,0:37
14,Xepf8uTnR7w,"Top Magnetic Prospecting Pick Axe for Gold Panning",magnetic-prospecting-pick-axe,46,139,,"Magnetic Prospecting Pick Axe for Gold Panning","See ASR Outdoor's compact magnetic prospector's pick axe tested in the field — the built-in magnet clears black sand and speeds up digging.","A look at ASR Outdoor's compact magnetic prospector's pick axe, tested in the field. The built-in magnet lets you separate black-sand magnetite and clear your dig site fast — a handy tool for any gold prospecting kit.",2023-09-21,PT1M35S,1:35
15,o6ToaVuqtZk,"Benefits of Rubber Riffle Matting for Gold Recovery",benefits-of-rubber-riffle-matting,33,137,,"Benefits of Rubber Riffle Matting","Learn how ASR Outdoor's rubber riffle matting increases gold capture — TPR riffle traps hold fine gold and nuggets with clear visibility.","Learn how rubber riffle matting boosts your gold capture rate. The TPR mat's riffle traps hold fine gold flakes and nuggets while offering clear visibility, making it a great add-on for fine gold recovery in any sluice box.",2022-06-24,PT50S,0:50
16,pXoZAJsz4qo,"How to Properly Season Your Gold Pans",how-to-season-your-gold-pans,37,131,,"How to Properly Season Your Gold Pans","Learn how to season plastic and metal gold pans before use with Bobby Bo, so they shed water and catch more fine gold on every pan.","New gold pans need seasoning before use. Join ASR Outdoor brand ambassador Bobby Bo to learn how to properly season plastic and metal gold pans so they shed water and catch more fine gold, and how the sidewall riffles help.",2022-06-16,PT1M45S,1:45
17,t9Fc9uBs24Y,"ASR Outdoor Gemstone Paydirt Kit — Find Crystals & Gems",gemstone-paydirt-kit-find-crystals-and-gems,43,135,,"Gemstone Paydirt Kit — Find Crystals & Gems","See ASR Outdoor's gemstone paydirt kits — sift and sort to uncover real gemstones. A fun, educational family activity and a great gift.","A look at ASR Outdoor's gemstone paydirt kits. Sift and sort each curated batch to uncover a variety of real gemstones — a fun, educational family activity and a unique gift for any gem enthusiast.",2024-09-24,PT1M31S,1:31
18,u-HoBL5NvLQ,"Product Spotlight: 21pc Geology Rock Hounding Kit",21pc-geology-rock-hounding-kit-spotlight,40,140,,"21pc Geology Rock Hounding Kit Spotlight","A spotlight on ASR Outdoor's 21pc Geology Rock Hounding Kit — chisels, rock pick hammer, shovel, and more in one durable large-capacity bag.","A spotlight on the ASR Outdoor 21-piece Geology Rock Hounding Kit. It packs a 3-piece hardened steel chisel set, rock pick hammer, 2-in-1 shovel, and more into a durable large-capacity bag — everything you need for your next expedition.",2025-09-30,PT33S,0:33
19,vW6hZTmYAqc,"ASR Outdoor 34-Inch Aluminum Sluice Box Setup",34-inch-aluminum-sluice-box-setup,33,148,,"34-Inch Aluminum Sluice Box Setup","Step-by-step setup of ASR Outdoor's 34-inch aluminum sluice box with preinstalled rubber matting — rust-free, portable, and ready for gold recovery.","Learn how to set up ASR Outdoor's 34.5-inch aluminum sluice box with preinstalled TPR rubber matting. The rust-free body and included shoulder strap make gold recovery simple and portable — experiment with angle and water speed for the best yield.",2022-06-22,PT2M58S,2:58
20,xCIlBiVK-hM,"6pc Beginner Gold Panning Kit with Paydirt Demo",6pc-beginner-gold-panning-kit-demo,42,150,,"6pc Beginner Gold Panning Kit with Paydirt","Watch a demo of ASR Outdoor's 6pc beginner gold panning kit with paydirt — panning basics, the swirl technique, and finding gold. Great for beginners.","A demo of the ASR Outdoor x Bobby Bo 6-piece beginner gold panning kit with paydirt. Watch the panning basics — smooth-wall technique, the swirl, and finding gold — a perfect starting point and family activity for new prospectors.",2022-06-16,PT4M4S,4:04
