numeric_id,gid,handle,title,type,products_count,seo_title,seo_desc,seo_desc_len,body_len,image_alt,url,missing_seo_description,seo_too_short,seo_too_long,missing_body,thin_body,empty_collection,missing_image_alt,priority
490947936556,gid://shopify/Collection/490947936556,used-gold-prospecting-equipment-and-gold-panning-gear,"Used Gold Prospecting Equipment",manual,0,,,0,624,,https://asroutdoor.com/collections/used-gold-prospecting-equipment-and-gold-panning-gear,1,0,0,0,0,1,0,4
490947969324,gid://shopify/Collection/490947969324,sale,Sale,manual,0,,,0,535,,https://asroutdoor.com/collections/sale,1,0,0,0,0,1,0,4
478232477996,gid://shopify/Collection/478232477996,camping-gear,"Camping Gear",manual,82,,,0,630,"Camping Gear equipment tent stakes pegs",https://asroutdoor.com/collections/camping-gear,1,0,0,0,0,0,0,3
478232543532,gid://shopify/Collection/478232543532,survival-gear,"Survival Gear",manual,54,,,0,630,"survival gear fire starter with compass",https://asroutdoor.com/collections/survival-gear,1,0,0,0,0,0,0,3
478278451500,gid://shopify/Collection/478278451500,gold-pans,"Gold Pans",manual,9,,,0,587,"Gold Panning on a stream beautiful places to find gold",https://asroutdoor.com/collections/gold-pans,1,0,0,0,0,0,0,3
483314893100,gid://shopify/Collection/483314893100,outdoor-knives,"Outdoor Knives",manual,19,,,0,569,"survival knives for emergencies, camping, fishing, and survival",https://asroutdoor.com/collections/outdoor-knives,1,0,0,0,0,0,0,3
483668033836,gid://shopify/Collection/483668033836,gemstone-paydirt,"Gemstone Paydirt",manual,3,,,0,607,"gemstone paydirt kit with Identification card",https://asroutdoor.com/collections/gemstone-paydirt,1,0,0,0,0,0,0,3
490268426540,gid://shopify/Collection/490268426540,geodes,Geodes,manual,1,,,0,579,"Cracking breaking open Geodes Crystal inside geodes buy your own geodes",https://asroutdoor.com/collections/geodes,1,0,0,0,0,0,0,3
490832134444,gid://shopify/Collection/490832134444,new-arrivals,"New Arrivals",manual,47,,,0,498,"green mini classifier screens with rocks in them on top of large single riffle gold pan",https://asroutdoor.com/collections/new-arrivals,1,0,0,0,0,0,0,3
493488931116,gid://shopify/Collection/493488931116,paralace,ParaLace,manual,2,,,0,1365,"paracord products for emergencies",https://asroutdoor.com/collections/paralace,1,0,0,0,0,0,0,3
450328265004,gid://shopify/Collection/450328265004,gold-panning-kits,"Gold Panning Kits",manual,26,"ASR Outdoor Gold Panning Kits","Best selection of high quality gold panning kits, curated by ASR Outdoor. Novice hobbyist or experienced prospector, we stock gold panning kits for all skill levels.",165,463,"gold panning prospecting kits",https://asroutdoor.com/collections/gold-panning-kits,0,0,1,0,0,0,0,1
453118853420,gid://shopify/Collection/453118853420,sifters-or-classifiers,"Classifier Screens",manual,8,"ASR Outdoor: Gold Pans + Classifier Screens","Essential gold prospecting equipment for classification work, gold panning and finishing work, find a great selection of gold pans and classifier screens here in multiple finishes, colors and sizes.",198,602,"Classifying material rock gravel with deep stack classifiers",https://asroutdoor.com/collections/sifters-or-classifiers,0,0,1,0,0,0,0,1
454185582892,gid://shopify/Collection/454185582892,paydirt-kits,"Paydirt Gold Panning Kits",manual,9,"ASR Outdoor Paydirt Gold Panning Kits","Beginner or expert, there is always room to improve gold panning techniques. Choose from one of our many ASR Outdoor X Bobby Bo collaboration pay dirt gold panning kits and enhance your gold panning skills from home.",216,383,"different sizes of gold paydirt bags gold panning paydirt kit",https://asroutdoor.com/collections/paydirt-kits,0,0,1,0,0,0,0,1
454185877804,gid://shopify/Collection/454185877804,gold-panning-accessories,"Gold Prospecting Equipment",manual,36,"ASR Outdoor Gold Prospecting Equipment","Look no further than ASR Outdoor for all gold panning accessories and gold prospecting equipment needed for extraction, recovery, cleaning, examination and storage of found gold.",178,563,"Mini rubber sluice box other gold prospecting equipment",https://asroutdoor.com/collections/gold-panning-accessories,0,0,1,0,0,0,0,1
454185943340,gid://shopify/Collection/454185943340,sluice-boxes,"Sluice Boxes + Sluice Box Matting",manual,8,"ASR Outdoor Sluice Boxes + Sluice Box Matting","When moving through large amounts of pay dirt, a sluice box that successfully captures your hard earned classification work is a must-have to include with your gold prospecting equipment.",187,562,"What is a sluice box efficient way to gold pan with miners moss or matting",https://asroutdoor.com/collections/sluice-boxes,0,0,1,0,0,0,0,1
454714229036,gid://shopify/Collection/454714229036,gold-prospecting-bucket-kits,"5 Gallon Bucket Gold Panning Kits",manual,9,"ASR Outdoor 3.5 and 5 Gallon Bucket Gold Panning Kits","ASR Outdoors comprehensive 3.5 and 5 gallon bucket gold panning kits feature a complete set of gold prospecting equipment, designed for start to finish raw material processing.",176,649,"5 gallon bucket gold panning kits to find gold accurately",https://asroutdoor.com/collections/gold-prospecting-bucket-kits,0,0,1,0,0,0,0,1
471358341420,gid://shopify/Collection/471358341420,metal-detecting-equipment,"Metal Detecting Equipment",manual,16,,"Try your hand at this popular hobby: metal detecting! From tool bags and shovels, to coin probes and kits, ASR Outdoor has your metal detector equipment and accessory needs covered!",181,584,"metal detecting kits for finding treasure on sand, dirt, or rocks",https://asroutdoor.com/collections/metal-detecting-equipment,0,0,1,0,0,0,0,1
450323054892,gid://shopify/Collection/450323054892,frontpage,"All Products",manual,189,"ASR Outdoor: All Products","ASR Outdoors full catalog of gold panning kits, gold prospecting equipment and rock hounding gear, all in one place.",116,573,"All new products for asroutdoor",https://asroutdoor.com/collections/frontpage,0,0,0,0,0,0,0,0
454199968044,gid://shopify/Collection/454199968044,rock-hounding-gear,"Rock Hounding Equipment",manual,20,"ASR Outdoor Rock Hounding Equipment","Rocks, gems, minerals or fossils, find success in the field with high quality amateur geology or rockhounding gear, tools and equipment from ASR Outdoor.",153,626,"32oz Geology hammer pick for rock hounding or digging",https://asroutdoor.com/collections/rock-hounding-gear,0,0,0,0,0,0,0,0
